artist_name,album_name,album_img,album_year,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Know Who You Are At Every Age - Remastered 2006,0,0.578,0.671,4,-7.747,0,0.0269,0.00372,0.0,0.31,0.586,111.73,217293,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Evangeline - Remastered 2006,1,0.477,0.593,0,-7.139,1,0.0274,0.155,7.91e-05,0.385,0.456,103.99,268693,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Bluebeard - Remastered 2006,2,0.44,0.755,4,-5.866,1,0.0319,0.02,0.0,0.091,0.508,94.971,233773,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,"Theft, And Wandering Around Lost - Remastered 2006",3,0.406,0.598,0,-8.328,0,0.03,0.595,0.0112,0.114,0.491,149.918,268933,3
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Oil Of Angels - Remastered 2006,4,0.706,0.443,5,-9.188,1,0.0305,0.0799,0.000629,0.106,0.389,119.956,277253,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Squeeze-Wax - Remastered 2006,5,0.471,0.682,0,-7.105,1,0.0252,0.243,3.53e-06,0.237,0.599,94.943,226520,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,My Truth - Remastered 2006,6,0.416,0.46,9,-10.112,1,0.0402,0.299,0.00686,0.101,0.58,174.879,271800,3
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Essence - Remastered 2006,7,0.0621,0.314,6,-11.793,0,0.035,0.438,0.778,0.315,0.0372,64.472,181053,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Summerhead - Remastered 2006,8,0.437,0.7,7,-6.337,1,0.0285,0.0695,2.08e-05,0.242,0.557,95.002,217213,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Pur - Remastered 2006,9,0.29,0.592,0,-7.49,1,0.0327,0.035,0.000205,0.11,0.0715,155.76,300893,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Violaine - Remastered 2006,10,0.423,0.646,7,-8.451,1,0.0304,4.86e-05,0.0,0.346,0.679,134.067,225253,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Serpentskirt - Remastered 2006,11,0.309,0.561,4,-6.716,0,0.031,0.284,0.000398,0.147,0.61,156.002,237240,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Tishbite - Remastered 2006,12,0.355,0.683,9,-6.708,1,0.0334,0.529,0.662,0.0756,0.67,80.041,231787,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Half-Gifts - Remastered 2006,13,0.434,0.43,0,-10.669,1,0.0285,0.716,0.0,0.117,0.328,88.685,258587,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Calfskin Smack - Remastered 2006,14,0.398,0.695,5,-7.183,1,0.0299,0.0273,0.237,0.0821,0.564,140.035,298840,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Rilkean Heart - Remastered 2006,15,0.402,0.576,4,-6.22,1,0.029,0.0938,0.0,0.0828,0.497,90.079,242640,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Ups - Remastered 2006,16,0.222,0.754,9,-7.193,1,0.047,0.339,0.0033,0.349,0.716,113.412,216533,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Eperdu - Remastered 2006,17,0.141,0.589,11,-7.364,1,0.0327,0.925,0.922,0.21,0.306,65.641,281413,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Treasure Hiding - Remastered 2006,18,0.0947,0.341,0,-8.917,1,0.0318,0.0931,0.00338,0.31,0.168,73.643,293627,3
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Seekers Who Are Lovers - Remastered 2006,19,0.313,0.549,7,-6.144,0,0.0348,0.0112,0.00254,0.135,0.423,80.06,279413,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Mud And Dark,20,0.549,0.806,7,-6.223,1,0.0337,0.201,0.0117,0.188,0.563,118.37,221773,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Summer-Blink,21,0.491,0.599,5,-6.741,1,0.0274,0.168,0.0,0.166,0.189,80.048,189653,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Winter Wonderland,22,0.731,0.677,0,-9.669,1,0.0309,0.44,0.0136,0.0901,0.768,116.965,170800,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Frosty The Snowman,23,0.593,0.724,7,-7.035,1,0.0288,0.0101,0.0015,0.322,0.744,120.052,175840,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Three Swept,24,0.675,0.479,0,-11.531,1,0.0337,0.499,0.88,0.0983,0.382,110.017,216573,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Ice Pulse,25,0.596,0.624,7,-8.564,1,0.0254,0.0229,0.000219,0.321,0.074,105.351,225720,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Bluebeard - EP Version,26,0.569,0.328,4,-10.946,1,0.042,0.18,0.000252,0.101,0.711,99.575,188467,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Rilkean Heart - EP Version,27,0.546,0.149,4,-12.861,1,0.0291,0.962,0.00223,0.1,0.253,89.262,142387,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Golden-Vein - EP Version,28,0.395,0.22,9,-13.802,1,0.0304,0.964,0.678,0.0952,0.0905,149.951,170920,3
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Pink Orange Red - EP Version,29,0.523,0.138,0,-15.222,1,0.0351,0.974,0.487,0.0943,0.078,87.04,271227,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Half-Gifts - EP Version,30,0.181,0.195,0,-13.211,1,0.0334,0.908,0.000263,0.0936,0.165,77.02,254653,1
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Feet Like Fins,31,0.281,0.466,7,-13.503,1,0.0554,0.979,0.981,0.0808,0.0694,99.796,330880,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Seekers Who Are Lovers - EP Version,32,0.601,0.662,10,-10.385,1,0.0293,0.000732,0.753,0.136,0.196,79.884,341853,4
Cocteau Twins,Treasure Hiding: The Fontana Years,https://i.scdn.co/image/ab67616d0000b2731a482b27ab9ed0f467276a5f,2018,Violaine - EP Version,33,0.73,0.309,7,-16.102,1,0.0501,0.123,0.314,0.0538,0.556,134.047,307613,4
